Time,PickupX,PickupY,DropoffX,DropoffY
7,935.212,1087.592,1259.129,926.135
10,1560.698,1011.562,907.423,1081.803
10,970.142,1245.195,1448.85,825.247
15,1442.33,1262.062,901.791,1097.993
24,1349.314,1013.652,1074.739,1334.803
30,1074.739,1334.803,1302.192,836.317
31,1224.873,1166.635,1440.809,1276.609
33,1117.055,1345.54,1404.534,1012.322
36,1006.99,863.754,1363.511,1015.551
43,1306.724,1007.954,949.107,901.364
55,1448.85,825.247,1400.808,1106.08
66,1361.485,861.713,1380.992,1345.114
67,949.107,901.364,1260.952,883.744
69,1316.952,835.069,1388.684,1221.312
70,1278.33,1004.156,1428.647,1392.983
71,1477.108,1175.013,1433.208,1349.342
72,947.949,869.328,969.37,1215.733
76,1249.936,1000.357,1517.249,1160.54
78,949.686,917.381,935.212,1087.592
79,1045.295,1326.036,1378.108,1391.54
83,1169.352,848.423,1304.002,1382.856
87,1404.534,1012.322,1544.009,1150.89
90,1171.423,998.434,1021.75,862.36
94,1030.573,1321.653,1216.967,1225.092
98,942.318,1157.817,1316.952,835.069
99,1319.345,1186.448,1131.16,1349.119
102,1490.912,1007.726,1171.423,998.434
103,1380.031,1360.59,1050.722,1119.112
104,1463.453,824.234,1127.568,992.789
106,1597.529,1131.592,1513.804,880.325
108,1187.126,998.819,890.529,1130.373
111,1381.954,1329.639,930.195,1287.715
111,1560.864,1287.712,935.212,1087.592
117,1402.476,1227.863,1257.913,954.396
118,1335.117,1011.753,876.09,1171.885
120,1470.852,1395.997,1633.864,1230.079
121,1460.676,1008.638,1224.873,1166.635
122,1036.51,860.966,866.464,1199.559
125,1496.274,1272.416,1006.99,863.754
126,1333.529,1188.329,1391.052,1165.091
130,1443.85,1247.515,968.984,1201.002
131,1108.772,1134.953,1079.747,1127.033
134,1166.822,1150.794,1565.302,1026.566
135,1263.812,1177.261,1216.967,1225.092
136,1224.873,1166.635,1390.266,1195.855
138,1220.951,1181.007,1428.647,1392.983
141,1361.358,846.519,971.686,1304.119
147,1570.769,1141.241,1443.85,1247.515
148,1418.209,1011.246,1320.92,1009.853
149,925.877,1004.73,1503.232,851.267
152,1437.769,1305.702,1583.718,1086.581
152,1278.33,1004.156,1434.728,1334.796
153,1607.911,1159.731,1074.739,1334.803
153,1361.232,831.325,1257.913,954.396
155,1065.234,1123.073,1361.612,876.907
155,935.212,1087.592,1539.453,1341.331
