Job#, Delivered(Y/N), Waiting Time, Delivery Time
2, Y, 12, 26
1, Y, 12, 42
0, Y, 2, 61
3, Y, 37, 19
14, N, N/A, N/A
15, N, N/A, N/A
4, Y, 10, 65
5, Y, 19, 45
18, N, N/A, N/A
8, Y, 17, 26
7, Y, 13, 39
6, Y, 22, 39
9, Y, 35, 24
10, Y, 26, 32
11, Y, 16, 37
25, N, N/A, N/A
26, N, N/A, N/A
27, N, N/A, N/A
28, N, N/A, N/A
29, N, N/A, N/A
30, N, N/A, N/A
31, N, N/A, N/A
32, N, N/A, N/A
20, Y, 11, 31
34, N, N/A, N/A
35, N, N/A, N/A
18, Y, 50, 11
22, Y, 8, 35
12, Y, 54, 42
15, Y, 17, 64
16, Y, 26, 50
41, N, N/A, N/A
42, N, N/A, N/A
43, N, N/A, N/A
23, Y, 19, 45
45, N, N/A, N/A
47, N, N/A, N/A
48, N, N/A, N/A
49, N, N/A, N/A
50, N, N/A, N/A
51, N, N/A, N/A
52, N, N/A, N/A
53, N, N/A, N/A
36, Y, 17, 33
35, Y, 35, 20
21, Y, 40, 63
37, Y, 11, 44
58, N, N/A, N/A
59, N, N/A, N/A
60, N, N/A, N/A
61, N, N/A, N/A
62, N, N/A, N/A
63, N, N/A, N/A
32, Y, 32, 56
43, Y, 31, 30
38, Y, 20, 58
55, Y, 16, 14
68, N, N/A, N/A
70, N, N/A, N/A
39, Y, 42, 50
72, N, N/A, N/A
73, N, N/A, N/A
53, Y, 21, 36
54, Y, 8, 46
77, N, N/A, N/A
63, Y, 28, 14
80, N, N/A, N/A
65, Y, 17, 25
66, Y, 9, 29
64, Y, 21, 13
68, Y, 21, 13
84, N, N/A, N/A
85, N, N/A, N/A
70, Y, 23, 17
87, N, N/A, N/A
88, N, N/A, N/A
74, Y, 2, 38
80, Y, 0, 23
91, N, N/A, N/A
92, N, N/A, N/A
93, N, N/A, N/A
94, N, N/A, N/A
95, N, N/A, N/A
96, N, N/A, N/A
97, N, N/A, N/A
98, N, N/A, N/A
99, N, N/A, N/A
100, N, N/A, N/A
103, N, N/A, N/A
104, N, N/A, N/A
75, Y, 49, 18
85, Y, 6, 33
88, Y, 3, 26
78, Y, 19, 39
109, N, N/A, N/A
110, N, N/A, N/A
111, N, N/A, N/A
112, N, N/A, N/A
113, N, N/A, N/A
114, N, N/A, N/A
116, N, N/A, N/A
19, Y, 3, 27
45, Y, 3, 27
73, Y, 3, 27
101, Y, 3, 27
107, Y, 15, 9
106, Y, 26, 2
82, Y, 40, 38
122, N, N/A, N/A
123, N, N/A, N/A
